Date,Open,High,Low,Close,Adj Close,Volume
2020-06-05,4019.449951,4050.000000,3992.300049,4024.899902,3899.968750,771005
2020-06-08,4034.899902,4034.899902,3942.000000,3967.600098,3844.447754,711998
2020-06-09,3930.000000,4142.000000,3930.000000,4123.799805,3995.799316,2275162
2020-06-10,4145.000000,4190.000000,4087.699951,4112.500000,3984.850098,1553968
2020-06-11,4113.000000,4127.950195,4037.000000,4057.600098,3931.654053,827516
2020-06-12,3992.000000,4036.600098,3981.000000,4007.949951,3883.545166,782304
2020-06-15,4048.000000,4126.899902,3960.600098,4012.300049,3887.760254,1391915
2020-06-16,4065.000000,4080.000000,3952.750000,4005.449951,3881.122803,780026
2020-06-17,4005.449951,4042.750000,3972.000000,3985.199951,3861.501221,637363
2020-06-18,4010.000000,4052.449951,3992.000000,4007.000000,3882.624756,722830
2020-06-19,4020.250000,4044.899902,3992.000000,4005.600098,3881.268555,730943
2020-06-22,4032.000000,4062.500000,4010.899902,4032.850098,3907.672363,531196
2020-06-23,4047.899902,4130.000000,4040.100098,4108.850098,3981.313477,959883
2020-06-24,4112.450195,4136.700195,4028.300049,4042.649902,3917.168213,535548
2020-06-25,4030.000000,4041.000000,3976.550049,4006.600098,3882.237061,753875
2020-06-26,4015.000000,4065.000000,3965.000000,3998.600098,3874.485840,743912
2020-06-29,3998.000000,4044.000000,3958.750000,3973.850098,3850.503906,538487
2020-06-30,4000.000000,4010.899902,3925.500000,3944.949951,3822.500488,680942
2020-07-01,3965.199951,3966.000000,3885.850098,3911.449951,3790.040527,623565
2020-07-02,3946.000000,3979.000000,3901.000000,3920.550049,3798.858154,742293
2020-07-03,3940.000000,3967.949951,3910.000000,3921.449951,3799.730469,456076
2020-07-06,3925.000000,3940.000000,3877.000000,3892.000000,3771.194580,569617
2020-07-07,3894.899902,3919.000000,3814.000000,3823.500000,3704.820801,1035997
2020-07-08,3831.000000,3944.699951,3831.000000,3886.699951,3766.058838,1362258
2020-07-09,3905.000000,3917.000000,3854.050049,3896.600098,3775.651855,491143
2020-07-10,3899.699951,3957.000000,3883.199951,3905.449951,3784.226807,830591
2020-07-13,3915.300049,3928.949951,3874.000000,3899.550049,3802.853271,535688
2020-07-14,3904.000000,3996.050049,3874.000000,3983.149902,3884.380127,1208945
2020-07-15,3989.000000,4047.800049,3961.000000,4036.449951,3936.358643,1059393
2020-07-16,4031.100098,4162.950195,4011.100098,4152.149902,4049.189209,1561865
2020-07-17,4141.000000,4158.000000,4100.000000,4118.750000,4016.617676,742576
2020-07-20,4139.350098,4154.000000,4072.399902,4092.100098,3990.628662,628872
2020-07-21,4100.250000,4130.700195,4006.050049,4033.550049,3933.530762,663296
2020-07-22,4053.550049,4130.000000,4025.050049,4061.600098,3960.884766,818769
2020-07-23,4090.899902,4140.000000,4062.000000,4130.000000,4027.588623,711956
2020-07-24,4130.000000,4179.899902,4051.649902,4065.949951,3965.126953,1095943
2020-07-27,4085.000000,4085.649902,3962.949951,4015.699951,3916.123047,581848
2020-07-28,4019.000000,4092.000000,4007.350098,4051.350098,3950.889160,518594
2020-07-29,4082.449951,4336.000000,4075.399902,4302.200195,4195.518555,4953233
2020-07-30,4393.899902,4560.000000,4340.000000,4516.600098,4404.602051,6294410
2020-07-31,4479.000000,4550.850098,4455.399902,4521.049805,4408.941406,1582134
2020-08-03,4521.049805,4670.000000,4500.000000,4527.450195,4415.183594,2436650
2020-08-04,4530.700195,4654.350098,4490.149902,4634.850098,4519.919922,1666543
2020-08-05,4655.049805,4665.700195,4581.700195,4600.950195,4486.860840,1012014
2020-08-06,4610.049805,4658.000000,4567.549805,4583.049805,4469.403809,917401
2020-08-07,4590.000000,4707.000000,4560.549805,4573.500000,4460.091309,1665343
2020-08-10,4605.000000,4758.600098,4605.000000,4690.899902,4574.580078,1739436
2020-08-11,4715.049805,4738.549805,4565.000000,4595.899902,4481.936035,1291521
2020-08-12,4575.000000,4579.899902,4484.049805,4518.149902,4406.113770,1070724
2020-08-13,4550.149902,4590.450195,4491.750000,4502.250000,4390.608398,910042
2020-08-14,4526.149902,4586.000000,4470.000000,4519.399902,4407.333008,1150784
2020-08-17,4519.450195,4570.000000,4500.200195,4519.149902,4407.088867,677666
2020-08-18,4538.000000,4559.700195,4492.350098,4520.399902,4408.307617,650432
2020-08-19,4540.000000,4558.950195,4476.100098,4489.250000,4377.930176,807214
2020-08-20,4485.000000,4526.600098,4461.100098,4476.000000,4365.009277,806767
2020-08-21,4520.000000,4520.000000,4473.600098,4489.750000,4378.418457,487702
2020-08-24,4489.750000,4507.100098,4425.000000,4472.549805,4361.644043,735238
2020-08-25,4490.000000,4492.399902,4420.000000,4427.700195,4317.907227,602156
2020-08-26,4431.000000,4452.899902,4400.000000,4434.750000,4324.781738,692002
2020-08-27,4442.399902,4468.299805,4417.000000,4437.000000,4326.976563,903663
2020-08-28,4460.000000,4466.000000,4360.799805,4374.299805,4265.830566,1162849
2020-08-31,4375.000000,4425.000000,4216.649902,4264.700195,4158.948730,1188824
2020-09-01,4271.100098,4375.899902,4232.000000,4351.950195,4244.035156,812641
2020-09-02,4351.250000,4397.399902,4316.700195,4352.750000,4244.815918,603697
2020-09-03,4374.549805,4466.000000,4340.149902,4433.149902,4323.221191,938394
2020-09-04,4400.000000,4483.450195,4291.950195,4322.500000,4215.314941,1354800
2020-09-07,4344.149902,4436.000000,4295.250000,4419.850098,4310.251953,1230797
2020-09-08,4465.000000,4481.500000,4328.799805,4348.799805,4240.962891,1471551
2020-09-09,4349.899902,4444.000000,4335.600098,4429.450195,4319.613770,1235087
2020-09-10,4460.000000,4462.000000,4340.549805,4380.149902,4271.535645,871169
2020-09-11,4400.000000,4447.000000,4375.000000,4401.600098,4292.454102,886945
2020-09-14,4423.649902,4423.649902,4336.000000,4364.100098,4255.883789,584906
2020-09-15,4374.950195,4549.000000,4372.549805,4442.350098,4332.192871,2504466
2020-09-16,4455.000000,4650.799805,4411.000000,4627.899902,4513.142090,2979789
